rep	aei_left	left_area	adi_left	H
1	0.308443	122.1635963	2.112078	0.839883683
2	0.377235	115.9777066	1.993991	0.794432766
3	0.280635	123.3866775	2.158942	0.850183486
4	0.447303	118.5028461	1.918102	0.814021051
5	0.342632	120.0726958	2.042741	0.826103662
6	0.312583	119.5599648	2.097547	0.831848414
7	0.331157	120.3799508	2.059597	0.828581224
8	0.357587	125.1531635	2.047432	0.837935332
9	0.372975	115.4539544	2.010764	0.803026787
10	0.43864	122.2525239	1.927871	0.824528551
11	0.417664	119.7016962	1.966649	0.821007759
12	0.385689	121.3922703	2.009964	0.81439916
13	0.381119	114.4074985	1.984081	0.813125859
14	0.282056	119.5187972	2.141746	0.831143498
15	0.387464	117.0297059	1.989592	0.813705275
16	0.320901	121.0322099	2.092756	0.839558773
17	0.290477	122.6652461	2.134419	0.835164813
18	0.286597	124.9592912	2.133121	0.846327608
19	0.383562	120.5842034	2.007581	0.827960231
20	0.403818	115.7772539	1.967712	0.810797625
21	0.327864	121.0751036	2.102042	0.814109901
22	0.395007	121.5646382	1.981834	0.820930917
23	0.297438	123.36736	2.108109	0.819950134
24	0.418617	116.1595295	1.938691	0.821380322
25	0.463813	113.3629723	1.869532	0.801266083
26	0.290617	121.2564358	2.094727	0.834257997
27	0.35157	121.5616005	2.064023	0.836837269
28	0.31364	122.1775072	2.090003	0.818059931
29	0.376951	115.0703706	2.001631	0.788429556
30	0.351197	117.9360565	2.041548	0.819836761
31	0.394808	115.0222721	1.995032	0.805167383
32	0.358132	118.6230696	2.054362	0.825284504
33	0.349318	119.4095341	2.057074	0.823315789
34	0.299358	120.5940726	2.07443	0.830986355
35	0.262859	125.7840382	2.18219	0.844553634
36	0.394362	117.5373372	1.998129	0.820814052
37	0.422865	118.946075	1.979318	0.79119128
38	0.332332	122.9797052	2.066902	0.838655429
39	0.427283	121.2586015	1.950836	0.820599935
40	0.409541	118.374596	1.984723	0.812660678
41	0.319844	118.4792301	2.092193	0.834619771
42	0.399244	119.7842755	1.99524	0.807934212
43	0.18266	127.3823573	2.234266	0.8432241
44	0.414208	117.215987	1.959368	0.796707754
45	0.322499	125.7998447	2.10468	0.827699007
