rep	aei_left	left_area	adi_left	H
1	0.36509	125.8064004	2.027171	0.823589369
2	0.401646	116.771224	1.961898	0.819988258
3	0.405418	115.5036234	1.979437	0.808069737
4	0.272803	123.7063785	2.15811	0.837872078
5	0.310866	122.0461638	2.094938	0.834606884
6	0.379061	116.9927333	2.014983	0.792038201
7	0.319228	120.753021	2.10192	0.830506922
8	0.418741	121.1377627	1.98358	0.822994428
9	0.350482	125.626957	2.082366	0.832484236
10	0.373845	120.623097	2.009414	0.820725324
11	0.348517	123.8302001	2.069352	0.828650971
12	0.352589	120.5652448	2.047494	0.816918089
13	0.301457	116.9771713	2.074999	0.825920401
14	0.329382	117.0652991	2.057351	0.824859223
15	0.404343	113.9846542	1.979228	0.800665868
16	0.409363	117.5877635	1.978759	0.821334425
17	0.379732	123.2109947	1.99231	0.840589541
18	0.393345	114.5605053	1.977632	0.802660977
19	0.328008	120.6257471	2.091107	0.831418873
20	0.311985	122.712615	2.117044	0.827664988
21	0.322801	119.5747766	2.083941	0.821855114
22	0.415558	115.959207	1.931276	0.807799626
23	0.331897	122.4303917	2.07842	0.831321053
24	0.338235	120.6222081	2.065106	0.828028516
25	0.267597	124.7573912	2.165266	0.84432933
26	0.368578	122.313501	2.049101	0.835416269
27	0.379442	113.4656445	1.976496	0.799351519
28	0.375864	123.3530986	2.0232	0.838916711
29	0.384387	118.6963682	2.007931	0.825294833
30	0.341769	121.3901803	2.054987	0.831100528
31	0.471509	115.6818006	1.887307	0.800490857
32	0.22724	123.2480781	2.169262	0.839923081
33	0.362069	125.2251486	2.04826	0.836858838
34	0.328629	124.0745393	2.0678	0.839485861
35	0.330004	117.4155097	2.073619	0.830759226
36	0.372493	119.2075777	2.019031	0.814305327
37	0.407556	118.8712141	1.99181	0.814354367
38	0.349782	127.6588435	2.062214	0.832160899
39	0.375843	118.0795599	1.98197	0.824963148
40	0.309605	120.7712254	2.085947	0.821722871
41	0.391045	121.7881188	2.000271	0.824400877
42	0.304493	124.1767969	2.108158	0.844384792
43	0.38403	123.669824	2.03174	0.822692558
44	0.381285	121.1245231	2.00415	0.832225823
45	0.373146	116.661351	2.012578	0.820032075
46	0.382408	116.9899055	2.001584	0.816265935
47	0.287876	124.0886308	2.128283	0.824757408
48	0.245536	125.9773173	2.172461	0.852127559
49	0.379572	118.5768189	1.990391	0.831523595
50	0.37676	122.8470893	2.014079	0.825962747
51	0.339616	124.2046827	2.081241	0.838364531
52	0.372133	119.6560602	2.035898	0.827062002
53	0.371716	120.6450187	2.047847	0.816617263
54	0.35743	121.2107353	2.023786	0.837771499
55	0.372535	120.4677413	1.992701	0.826554783
56	0.408234	121.3261549	1.947483	0.834942879
57	0.403294	118.608708	1.979445	0.820812001
58	0.393427	116.8404387	1.99636	0.811277269
59	0.323149	118.9292196	2.094404	0.823296611
60	0.343806	122.7086027	2.083934	0.832348228
61	0.396628	115.3468771	1.960316	0.815247438
62	0.381388	116.8296988	2.023434	0.814582239
63	0.312779	117.8540378	2.06403	0.831851149
64	0.301587	122.6983081	2.09118	0.818969096
65	0.386034	121.8299038	1.981462	0.833994864
66	0.258997	126.9953308	2.160957	0.851121901
67	0.392638	119.3678814	1.985945	0.82854128
68	0.431318	125.2084356	1.941996	0.835528118
69	0.375697	124.4749857	2.037308	0.839079528
70	0.445412	117.5598276	1.935862	0.801851865
71	0.368701	125.6616404	2.043137	0.840015949
72	0.356386	122.5015025	2.069347	0.827281166
73	0.360201	119.7270143	2.007367	0.811709606
74	0.32207	123.6858449	2.097746	0.833272202
75	0.408879	118.0043579	1.949751	0.822865772
76	0.284241	121.584263	2.116857	0.825939563
77	0.327646	119.0223072	2.08246	0.826848944
78	0.36777	119.1424708	2.002224	0.825846644
79	0.281352	122.9940531	2.150212	0.843491605
80	0.327127	127.2116913	2.106092	0.816131296
81	0.282136	124.2024341	2.146737	0.850500333
82	0.396756	120.2370727	1.994455	0.81510989
83	0.441451	123.7823821	1.930152	0.827316648
84	0.381277	120.9162764	1.999944	0.822409462
85	0.374688	123.1712862	2.033569	0.824157249
86	0.288035	120.7103032	2.123854	0.833951551
87	0.335942	123.0455417	2.054138	0.844533212
88	0.292474	120.8342526	2.122895	0.84215489
89	0.332771	127.0593465	2.100825	0.831486481
90	0.259901	127.0888241	2.159212	0.859959109
91	0.465009	114.1668473	1.856901	0.784934196
92	0.344285	119.2954496	2.060697	0.819898031
93	0.381106	124.4522711	1.998897	0.850230396
94	0.388853	119.3270318	1.987785	0.818641587
95	0.300983	120.6714882	2.112742	0.827439179
96	0.360563	120.9131773	2.03717	0.824455885
97	0.359949	118.3421804	2.056126	0.822078487
98	0.40958	117.179179	1.961044	0.793876249
99	0.359279	121.2066601	2.007844	0.827463782
100	0.370124	119.1562627	2.039831	0.813469661
101	0.306214	115.3767606	2.087329	0.831204164
102	0.357662	121.4315095	2.058474	0.836373548
103	0.374389	113.4125432	2.007276	0.818638884
104	0.26774	125.2369085	2.164021	0.851760985
105	0.286191	126.3136683	2.142469	0.832343102
106	0.394523	117.9207005	1.981928	0.816273549
107	0.388137	122.0696966	2.007627	0.830179292
108	0.425211	120.1093691	1.923968	0.818839594
109	0.29681	121.14953	2.121192	0.832717681
110	0.361566	117.1000105	2.04447	0.805227524
111	0.357629	120.0772314	2.041295	0.822652234
112	0.317739	121.1665145	2.092281	0.839294564
113	0.421193	119.2372718	1.967361	0.810424518
114	0.389022	116.4350945	1.984102	0.811123455
115	0.319679	121.1191157	2.104561	0.832755088
116	0.43821	117.9551234	1.905466	0.81402644
117	0.252276	123.6673554	2.178817	0.849928854
118	0.417668	117.5799016	1.936518	0.805775537
119	0.34999	119.5833103	2.041958	0.816926082
120	0.295576	122.3911137	2.116023	0.834948964
121	0.464686	119.7873717	1.881249	0.798714572
122	0.372874	127.5398648	2.046692	0.834054501
123	0.365661	114.5135398	2.010546	0.815016205
124	0.311939	123.1607953	2.103586	0.835958575
125	0.308934	124.0953277	2.110208	0.845251482
126	0.300719	123.9210454	2.104444	0.817500658
127	0.290757	118.5903624	2.111711	0.827130371
128	0.380145	119.3145996	2.015384	0.82469847
129	0.304174	122.5391447	2.096175	0.835255806
130	0.343576	116.9529575	2.047243	0.823895696
131	0.349089	119.1071925	2.035447	0.818803826
132	0.351522	124.295334	2.038123	0.833722163
133	0.347234	122.2886627	2.057008	0.825927331
134	0.29784	123.9822377	2.130057	0.836800102
135	0.385867	120.3870896	2.004608	0.814835652
136	0.382693	127.1177114	2.035399	0.823012317
137	0.360629	124.4840382	2.058242	0.827575504
138	0.353419	117.2090957	2.017964	0.823529796
139	0.406874	127.5361674	1.978139	0.839198413
140	0.404669	118.2741799	1.982325	0.811354008
141	0.365097	115.3050604	2.037001	0.814582307
142	0.368407	117.5838018	2.012276	0.828869294
143	0.338054	121.6764158	2.079791	0.828283223
144	0.340736	115.7993761	2.029475	0.775930879
145	0.322283	122.6356159	2.103675	0.836474792
146	0.33289	119.4418782	2.034328	0.82326552
147	0.365048	121.8849496	2.037822	0.825575391
148	0.432264	117.9727387	1.94094	0.812154323
149	0.329055	120.0670107	2.075937	0.83206277
150	0.329927	124.4261929	2.075377	0.828856402
151	0.390418	120.6730063	2.008867	0.82369469
152	0.489001	120.6715309	1.867479	0.82152851
153	0.335586	121.7981976	2.075992	0.82862032
154	0.353688	115.0800195	2.024893	0.82396858
155	0.335256	116.8962598	2.065779	0.827503585
156	0.383417	119.0381846	2.017824	0.834453259
157	0.357584	122.606207	2.05179	0.832283943
158	0.39451	121.3621894	2.015186	0.819288182
159	0.290401	118.6420951	2.123209	0.823825483
160	0.378872	119.6279021	2.010749	0.829637686
161	0.324201	118.824082	2.077869	0.822192233
162	0.385784	117.3853667	1.98953	0.823756954
163	0.318181	119.9835964	2.105133	0.808484185
164	0.344555	127.0702931	2.091141	0.836480629
165	0.340709	115.1391905	2.048469	0.813396298
166	0.350999	122.7573991	2.056775	0.829620638
167	0.432203	115.762073	1.92344	0.816616136
168	0.321628	117.4872741	2.093645	0.815756815
169	0.31584	124.0706502	2.105141	0.829560858
170	0.448422	114.3739846	1.906779	0.803912778
171	0.344814	119.3166479	2.045246	0.822569822
172	0.424796	124.2901883	1.940277	0.82057018
173	0.390321	118.6716347	1.997153	0.810534388
174	0.32527	120.9464044	2.083469	0.82848907
175	0.351436	121.4747189	2.031911	0.835268866
176	0.316523	117.0347778	2.075565	0.819624199
177	0.351951	116.0969438	2.077194	0.808985009
178	0.351381	121.6060036	2.082715	0.830640466
179	0.379017	119.4324457	1.996364	0.826717802
180	0.449448	116.2404488	1.897969	0.806429404
181	0.435803	113.5461049	1.901408	0.784790585
182	0.212218	123.9446024	2.206293	0.855451288
183	0.412116	116.9132956	1.941163	0.816831643
184	0.329093	122.970968	2.102342	0.822096505
185	0.378687	119.9208704	2.016693	0.814862969
186	0.335087	123.6274655	2.05599	0.831177272
187	0.263578	127.7143734	2.168606	0.835542101
188	0.252075	118.0083386	2.15832	0.835994284
189	0.337882	121.6317091	2.057135	0.817942164
190	0.433315	117.4679761	1.944591	0.809909068
191	0.431032	124.4430902	1.975814	0.809898844
192	0.375493	123.406445	2.026564	0.829335116
193	0.285609	122.786106	2.156389	0.836741317
194	0.369287	120.2247544	2.010846	0.831845034
195	0.357839	122.2884492	2.046025	0.8330271
196	0.307563	119.1252834	2.103002	0.820415825
197	0.409358	121.1372039	1.967785	0.820593313
198	0.29118	126.4676664	2.147599	0.828736597
199	0.431547	120.0276316	1.943555	0.820514711
200	0.399743	112.8136354	1.962462	0.795967864
201	0.362052	120.7455279	2.024301	0.826297038
202	0.274425	122.7470126	2.163782	0.835566434
203	0.41034	123.927	1.971409	0.815098364
204	0.402174	119.7750004	1.989382	0.817541602
205	0.353049	124.5153316	2.068523	0.832666228
206	0.36901	122.6445202	2.039763	0.837581486
207	0.353641	122.2206894	2.031158	0.831640541
208	0.364941	120.3497663	2.029778	0.83100377
209	0.301676	127.552904	2.130106	0.840606307
210	0.375432	119.7258288	2.013972	0.825804964
211	0.344812	123.8040246	2.073642	0.816088764
212	0.405723	118.478051	1.976656	0.816404417
213	0.408298	119.2415248	1.987681	0.818765575
214	0.389856	118.2374092	1.983594	0.816838216
215	0.388394	119.0919141	1.991668	0.820658933
216	0.354352	120.8965527	2.036385	0.816072903
217	0.409624	117.4993104	1.934382	0.797956811
218	0.386852	127.7270557	1.99945	0.852974183
219	0.400087	119.432873	1.999394	0.816271751
220	0.306515	125.7613407	2.108404	0.841069852
221	0.371637	118.0253008	2.036781	0.810574837
222	0.362631	118.1180556	2.016308	0.822222558
223	0.299893	119.8965267	2.128527	0.826471119
224	0.420177	117.9887614	1.973721	0.811023405
225	0.39584	119.6308567	2.001158	0.818640506
226	0.275513	128.4360979	2.163106	0.847634904
227	0.40912	118.775252	1.982139	0.822618608
228	0.264034	126.2989948	2.159735	0.845741038
229	0.318411	119.0771347	2.076659	0.825816555
230	0.426106	116.0994915	1.931027	0.815043134
231	0.458616	117.0650384	1.906054	0.803122322
232	0.461983	114.7987251	1.894978	0.788331427
233	0.268185	125.5232793	2.175637	0.839866764
234	0.509465	114.9899347	1.804662	0.784762814
235	0.423012	121.4453228	1.915861	0.816472298
236	0.419911	119.2746678	1.956903	0.805834788
237	0.342327	118.1786735	2.051119	0.819128989
238	0.258602	124.5958858	2.16847	0.842087534
239	0.343941	119.2646798	2.009326	0.820689027
240	0.341687	120.2083879	2.055297	0.822644724
241	0.368914	121.2971414	2.02143	0.8189286
242	0.368747	121.3285556	2.03694	0.825963255
243	0.301909	125.9395506	2.138143	0.826292315
244	0.366196	120.3606755	2.032073	0.817460253
245	0.388653	118.8683951	1.997276	0.821223741
246	0.346887	123.168931	2.061947	0.836007723
247	0.354192	118.3546883	2.019901	0.827899814
248	0.247111	125.6480909	2.191067	0.852153832
249	0.302933	118.9165234	2.09983	0.833490162
250	0.477306	113.5067743	1.859634	0.807349342
251	0.407425	121.4510957	1.953322	0.826823642
252	0.315458	119.3085053	2.075645	0.824406213
253	0.38335	116.8017096	1.997111	0.81824179
254	0.405707	115.122706	1.958025	0.817528561
255	0.339579	118.9443722	2.053219	0.821486285
256	0.363088	120.495876	1.996449	0.809901662
257	0.355967	116.4699887	2.045667	0.815802856
258	0.303339	124.4393526	2.126427	0.83858936
259	0.357089	120.4809143	2.019221	0.830613833
260	0.361689	126.5444466	2.072275	0.827108273
261	0.340926	117.6356689	2.061923	0.823955952
262	0.375961	124.5990685	1.988858	0.826869473
263	0.452053	116.6836974	1.880832	0.747874161
264	0.298852	123.8380096	2.108386	0.842488362
265	0.385511	117.337594	2.022584	0.799796567
266	0.389991	114.7729418	1.967533	0.813520484
267	0.301754	120.4034217	2.104279	0.83134039
268	0.426997	120.0287029	1.935301	0.82512336
269	0.404769	120.3139952	1.971104	0.816831075
270	0.330447	118.2749163	2.076036	0.827008557
271	0.362668	122.0930907	2.039742	0.829192544
272	0.40445	121.0517962	1.974764	0.800739151
273	0.322611	120.5588733	2.100114	0.832241441
274	0.343954	119.4491481	2.056147	0.819376668
275	0.301861	122.4532855	2.130868	0.84287564
276	0.388827	114.4808978	1.969809	0.814609368
277	0.37269	120.2141302	2.045284	0.8196196
278	0.325292	124.7604276	2.087497	0.832966935
279	0.40323	118.3109173	1.963982	0.832278633
280	0.284081	126.9051672	2.143572	0.845057986
281	0.327779	117.8696875	2.049323	0.822942674
282	0.416987	116.9864662	1.939567	0.805460117
283	0.405958	116.1531594	1.96459	0.80322887
284	0.343366	118.6642119	2.055061	0.828764884
285	0.365458	117.9572749	2.037525	0.818960887
286	0.315627	121.4675615	2.097935	0.828249564
287	0.283698	123.3016783	2.099335	0.843283045
288	0.348712	125.1910211	2.050067	0.823761354
289	0.345599	121.1236975	2.053158	0.829326678
290	0.277715	123.2199446	2.130473	0.842831097
291	0.358715	123.857925	2.069248	0.82961464
292	0.351425	128.5379413	2.04891	0.839420786
293	0.226896	129.4355657	2.193355	0.841866402
294	0.400988	116.7110401	1.962842	0.799507827
295	0.343009	120.1198709	2.050017	0.828912882
296	0.265329	123.6397847	2.130147	0.841562923
297	0.364493	130.4459685	2.044281	0.838245585
298	0.353494	118.907769	2.048898	0.807693145
299	0.352269	119.2612307	2.025127	0.835519063
300	0.329206	121.0087636	2.072382	0.832076277
301	0.463852	112.9419329	1.865272	0.79837776
302	0.373264	120.1089855	2.001906	0.825117399
303	0.309965	120.7940528	2.097676	0.833550657
304	0.329504	124.5380596	2.083244	0.837106112
305	0.405127	118.7529032	1.977024	0.820284308
306	0.295883	120.7793179	2.130706	0.832400208
307	0.312854	125.432937	2.097627	0.841067489
308	0.393075	118.5771784	2.015657	0.812027142
309	0.337283	123.3632832	2.082472	0.830587245
310	0.413638	122.0946722	1.977999	0.827259575
311	0.351291	122.3904418	2.065944	0.835880318
312	0.396093	119.9222599	1.974061	0.819185317
313	0.34353	123.1131649	2.050944	0.8379686
314	0.256053	121.8292687	2.149413	0.827269856
315	0.338089	116.5460408	2.052557	0.821358255
316	0.394481	120.1449188	1.996808	0.819709363
317	0.296565	125.3413638	2.128269	0.830112259
318	0.404223	118.4361214	1.939735	0.825407243
319	0.323671	120.8827706	2.068053	0.824911273
320	0.396418	115.3477111	1.979125	0.813031933
321	0.306482	119.8792229	2.091185	0.825126489
322	0.446064	113.6882892	1.946367	0.823042925
323	0.340272	122.2874723	2.053011	0.820496498
324	0.33901	122.495658	2.054016	0.825407809
325	0.342183	124.2062557	2.063527	0.834841675
326	0.495592	117.74751	1.840971	0.783533217
327	0.357935	122.3753479	2.051015	0.823569422
328	0.282154	121.0200478	2.139359	0.842818191
329	0.423752	120.4055908	1.941765	0.820221395
330	0.313594	124.6904775	2.106349	0.853488078
331	0.371588	119.9242132	2.02125	0.832169541
332	0.344536	118.1014648	2.021821	0.821578999
333	0.33972	119.2142534	2.049174	0.823026572
334	0.327286	119.0513693	2.068948	0.813756373
335	0.405179	117.610058	1.970932	0.816034062
336	0.35173	120.0773604	2.046339	0.828815945
337	0.423228	118.4144791	1.934013	0.816839713
338	0.357356	119.5507853	2.023295	0.817218798
339	0.365235	114.5750369	2.021925	0.81877022
340	0.409552	121.5440499	1.967099	0.833472591
341	0.379065	118.0456672	1.998166	0.82591888
342	0.287765	123.992132	2.12951	0.827817433
343	0.348656	121.4537197	2.028353	0.811673468
344	0.303916	124.4887463	2.111822	0.841082256
345	0.484285	117.1362041	1.834526	0.799243137
346	0.376008	120.1828341	2.019709	0.818119454
347	0.380721	117.5070416	1.994453	0.805647571
348	0.39774	114.4836527	1.987556	0.815797857
349	0.406467	116.2009813	1.966291	0.813208806
350	0.43058	120.3524006	1.94764	0.812660151
351	0.343519	122.8397285	2.035958	0.806224851
352	0.387865	122.0126286	2.021607	0.830499888
353	0.35979	123.8559832	2.055948	0.831702616
354	0.307584	122.7862842	2.068038	0.819399627
355	0.362189	116.7098801	2.04455	0.819209942
356	0.397344	117.8032029	2.000409	0.789527905
357	0.378801	118.8216302	1.994373	0.80701003
358	0.383678	122.0460594	2.03354	0.818329397
359	0.356155	122.1018578	2.049078	0.82749212
360	0.305528	123.1815259	2.109183	0.835246647
361	0.389437	119.5160448	1.994915	0.821441306
362	0.299672	119.8921298	2.130299	0.823465747
363	0.256247	123.636855	2.151471	0.835972429
364	0.391621	125.0634369	1.977485	0.839824464
365	0.395155	117.4073333	2.0109	0.806680392
366	0.394103	121.4746385	1.961761	0.825659713
367	0.359996	120.3118682	2.052805	0.822804931
368	0.360826	122.8525745	2.044508	0.840969374
369	0.205997	125.0986656	2.223707	0.840617141
370	0.309308	119.55247	2.105025	0.83206227
371	0.317024	119.9336838	2.072168	0.831576175
372	0.420636	112.3190816	1.96061	0.794526823
373	0.336987	124.0616008	2.080669	0.839439304
374	0.425179	117.9002403	1.944948	0.803190455
375	0.278065	119.7763913	2.131362	0.83174956
376	0.368214	119.8452621	2.033498	0.825740766
377	0.333794	117.1028996	2.066458	0.827012745
378	0.385442	120.4124879	1.992443	0.827895693
379	0.318378	119.3704707	2.093648	0.828220078
380	0.381734	121.1523261	2.00724	0.825514697
381	0.418284	117.2067409	1.961798	0.817546724
382	0.333389	120.837755	2.051003	0.836059494
383	0.373973	115.9990611	1.999789	0.822884178
384	0.208211	126.0988012	2.210666	0.856895937
385	0.447775	120.6414761	1.916775	0.837244025
