rep	aei_left	left_area	adi_left	H
1	0.325981	112.4200513	2.075031	0.82358068
2	0.369863	123.7445158	2.066085	0.824516785
3	0.42833	118.082806	1.958282	0.785528142
4	0.504987	108.0538892	1.814986	0.773252339
5	0.392355	123.561748	2.049111	0.797053219
6	0.535825	115.3580575	1.789419	0.819226685
7	0.318918	121.3837918	2.095636	0.816362007
8	0.389002	118.8538028	2.033151	0.813661736
9	0.333822	121.5112559	2.096687	0.811466712
10	0.359834	116.5779319	2.057058	0.825865832
11	0.41829	114.4675648	1.966604	0.793298216
12	0.432402	118.8015109	1.914826	0.824329028
13	0.28745	119.2514514	2.14231	0.826373707
14	0.293727	118.8058937	2.128922	0.806123035
15	0.371469	115.6296471	2.031898	0.799416408
16	0.280765	124.5861311	2.119455	0.83763632
17	0.418861	114.7914317	1.976798	0.810142876
18	0.236585	129.9332624	2.208922	0.855276447
19	0.310073	128.0210398	2.13128	0.837141085
20	0.328677	122.2361968	2.090497	0.822530858
21	0.336025	123.8198372	2.108626	0.809626525
22	0.385851	119.7586426	2.009397	0.799248087
23	0.179994	127.9530017	2.245918	0.85781231
24	0.347879	121.8990286	2.088324	0.820503953
25	0.409493	110.6974349	1.960241	0.795447542
26	0.306923	123.213384	2.134483	0.823338438
27	0.290776	120.7269895	2.133735	0.842647127
28	0.407009	123.6496536	2.016711	0.834609934
29	0.348722	119.2164145	2.080418	0.812832305
30	0.258837	122.3690326	2.183491	0.84002082
31	0.317314	121.7354104	2.069606	0.832203874
32	0.282897	120.5140299	2.168143	0.838715337
33	0.367487	113.1679617	2.031033	0.798998392
34	0.417216	117.7249796	1.969518	0.802177198
35	0.452052	121.3116656	1.933824	0.845630416
36	0.309343	126.8789748	2.133398	0.835148336
37	0.471565	116.1541801	1.901189	0.788954576
38	0.368639	119.2203583	2.02937	0.821756725
39	0.374542	122.5072416	2.010129	0.81956557
40	0.339883	121.4191217	2.068239	0.836624603
41	0.37202	117.0633776	2.034153	0.81952054
42	0.382784	121.282708	2.034413	0.794693175
43	0.333993	121.7980546	2.068698	0.818406832
44	0.374197	116.3343785	2.035848	0.8083464
45	0.420359	113.328602	1.943705	0.798210431
46	0.375103	126.5788935	2.041885	0.834853239
47	0.344778	114.329259	2.045689	0.817172352
48	0.312351	122.8783027	2.130238	0.827422251
49	0.391228	116.9734426	2.003677	0.806023295
50	0.338209	118.9786593	2.042197	0.820620874
51	0.372843	123.3444488	2.051166	0.828817166
52	0.356264	118.9538164	2.077904	0.817926992
53	0.363588	111.2878523	2.030236	0.801210356
54	0.475099	115.2641461	1.881443	0.801851166
55	0.2695	114.2372368	2.123081	0.817436083
56	0.353753	116.7121577	2.059527	0.825654467
57	0.35394	113.8178606	2.031529	0.801804666
58	0.325168	117.9905267	2.117573	0.829524485
59	0.313833	123.3919294	2.105711	0.843617325
60	0.422048	113.1744899	1.931505	0.802279385
61	0.466429	113.8866268	1.885031	0.796451908
62	0.322415	128.0702718	2.080752	0.835911561
63	0.320819	123.2453806	2.12968	0.836548757
64	0.355091	121.4577743	2.061773	0.811887279
65	0.292757	125.3383391	2.132773	0.844956315
66	0.449513	119.5141461	1.938686	0.787185581
67	0.426665	112.5130189	1.927771	0.790460476
68	0.295491	118.6914832	2.14952	0.80766633
69	0.456467	117.5620341	1.897298	0.819153781
70	0.316893	121.2785726	2.074214	0.830565474
71	0.421477	114.9581064	1.964415	0.789727085
72	0.465954	118.252779	1.894675	0.782955374
73	0.421428	117.6921836	1.99392	0.793583094
74	0.337521	121.6797423	2.07602	0.825998871
75	0.367348	116.8147852	2.043489	0.79250237
76	0.534941	112.9197873	1.754771	0.791708766
77	0.288893	123.3936505	2.149856	0.84843336
78	0.430002	114.5185099	1.93836	0.778506541
79	0.390858	123.1669336	1.959948	0.829155032
80	0.274817	124.6653102	2.177465	0.853340641
81	0.459352	115.0165987	1.920877	0.802457374
82	0.358003	117.3368818	2.046987	0.821251317
83	0.459065	120.2045248	1.939112	0.818724741
84	0.305541	117.93973	2.140219	0.831615478
85	0.459597	117.7616995	1.903245	0.828600943
86	0.534898	118.436357	1.811944	0.802841559
87	0.418846	116.0409342	1.974081	0.805335058
