rep	aei_left	left_area	adi_left	H
1	0.426801	117.118408	1.951577	0.816623739
2	0.413628	121.3164249	1.974449	0.793484378
3	0.278033	123.9762888	2.152726	0.836103278
4	0.48039	120.1440514	1.894247	0.812584973
5	0.320481	116.8058283	2.105974	0.819858806
6	0.385014	115.1600894	2.004716	0.799040712
7	0.406919	116.4406521	1.985251	0.805698462
8	0.249134	124.3355664	2.179993	0.837698976
9	0.368278	121.9866363	2.044775	0.823579935
10	0.426625	116.0215084	1.92421	0.820003896
11	0.444839	119.6619949	1.945572	0.820471984
12	0.352558	120.7407341	2.066697	0.819671193
13	0.364624	119.2071552	2.04676	0.806640573
14	0.303214	125.0288013	2.145756	0.835456288
15	0.273243	119.9271511	2.156565	0.839685729
16	0.366676	118.7374694	2.003672	0.820680574
17	0.433511	115.2429036	1.95278	0.785173413
18	0.361261	119.351271	2.041713	0.796406202
19	0.490807	116.6887855	1.855726	0.803873055
20	0.354315	118.70854	2.034306	0.805745807
21	0.40292	118.5791249	1.963863	0.801885076
22	0.369301	124.1146705	2.060788	0.835143597
23	0.374115	119.3619295	2.050097	0.811343389
24	0.30344	124.0534802	2.134658	0.826717673
25	0.414741	116.2002611	1.988534	0.7967236
26	0.375163	115.626019	2.005368	0.811603584
27	0.352932	120.4418294	2.050083	0.81635192
28	0.227909	121.3644386	2.197708	0.829809049
29	0.442868	118.0568282	1.948509	0.809465334
30	0.443439	117.2205025	1.947167	0.812168886
31	0.38491	117.9300787	2.000244	0.823198098
32	0.321499	121.0529566	2.118535	0.806672926
33	0.373548	122.0126703	2.044498	0.822375612
34	0.33854	116.3613143	2.074579	0.797786739
35	0.269644	126.2320657	2.160502	0.849933042
36	0.316173	122.7744042	2.089507	0.824264082
37	0.385461	120.2545795	2.047643	0.782465987
38	0.388786	120.8336074	1.980397	0.810732726
39	0.30298	119.353374	2.116022	0.817038107
40	0.36784	118.7791843	2.038717	0.816605198
41	0.374136	119.8114548	2.010444	0.817178029
42	0.290761	125.1499632	2.114199	0.843996199
43	0.548292	114.9353931	1.776222	0.790181939
44	0.333756	117.760922	2.107117	0.797137522
45	0.362358	120.1035389	2.050516	0.827352861
46	0.377777	112.769634	2.003104	0.802210483
47	0.275187	130.3465598	2.134528	0.846126362
48	0.438867	121.2869496	1.962327	0.815765199
49	0.398368	114.4425569	1.962124	0.793523144
50	0.386893	116.5304125	1.992139	0.798779775
51	0.436146	118.0523918	1.934167	0.771478527
