rep	aei_left	left_area	adi_left	H
1	0.433347	113.4660865	1.932684	0.807631947
2	0.270494	121.4891683	2.13852	0.819191397
3	0.362643	121.9294598	2.045126	0.819284053
4	0.349465	122.9513753	2.031056	0.825564906
5	0.366898	122.2417189	2.052268	0.821610971
6	0.390943	117.6118229	2.006812	0.825014262
7	0.469046	111.3664515	1.868733	0.79416952
8	0.40162	120.0119484	1.992558	0.80333257
9	0.285937	124.5667444	2.096541	0.841792451
10	0.437681	118.3961625	1.947491	0.811424003
11	0.423361	115.9031202	1.969242	0.797629471
12	0.389967	116.231243	1.985371	0.810802223
13	0.423391	119.6503206	1.967722	0.822914114
14	0.453598	118.7552225	1.90769	0.81745422
15	0.304822	128.2907782	2.100709	0.835349718
16	0.405164	117.6665234	1.989491	0.821812713
17	0.381638	117.3510119	1.990353	0.817172189
18	0.327925	128.0450934	2.091888	0.809233051
19	0.394086	118.4429933	1.98691	0.820527075
20	0.377013	120.5889135	2.033713	0.810487941
21	0.422831	115.9189733	1.965854	0.809164731
22	0.372732	116.0457458	2.018068	0.807515267
23	0.366789	117.5333902	2.038682	0.804646018
24	0.314357	115.0589746	2.092475	0.826127707
25	0.336125	120.1463937	2.059386	0.823163368
26	0.431565	124.7445116	1.955186	0.832885574
27	0.380351	117.9946844	2.034987	0.807406895
28	0.370738	118.5106652	2.042765	0.822636271
29	0.445659	115.218659	1.911877	0.812167552
30	0.326229	125.8942091	2.089477	0.833105384
31	0.408039	117.3164775	1.97731	0.807241488
32	0.272675	123.9600643	2.108017	0.824328542
33	0.274663	130.1576878	2.170547	0.85151952
34	0.463666	122.865194	1.905123	0.804127509
35	0.430995	120.5142086	1.957255	0.788010891
36	0.4595	117.7986583	1.882594	0.808362221
37	0.385057	119.3310727	2.007526	0.824905955
38	0.421006	120.0238016	1.971586	0.823598928
39	0.349655	117.5182757	2.082275	0.817432559
40	0.305146	116.4253675	2.113639	0.817877039
41	0.365916	123.4126305	2.05946	0.826208092
42	0.521602	116.6529977	1.80456	0.760719694
43	0.416065	116.6178222	1.959678	0.811762607
44	0.374706	124.4380493	2.053661	0.799661002
45	0.264181	121.1948519	2.161666	0.830595971
46	0.190064	129.328165	2.234236	0.853703385
47	0.4371	112.021316	1.956672	0.785507099
48	0.299267	117.3102293	2.111948	0.819187816
49	0.453288	115.9848158	1.897693	0.798939361
50	0.399983	116.1308624	1.987759	0.812799582
51	0.281079	125.7259382	2.160012	0.841028463
52	0.407048	117.0921496	2.016972	0.814110487
53	0.384374	119.2857387	2.008284	0.816943835
54	0.380494	112.6784996	2.008865	0.810368799
55	0.298885	126.5685817	2.130076	0.85144649
56	0.485248	118.3498583	1.864426	0.813832831
57	0.318899	120.1248969	2.113677	0.827556795
58	0.386896	122.2663778	1.995929	0.804082123
59	0.478918	116.2196704	1.87023	0.776796682
60	0.423244	117.9956467	1.956832	0.802866632
61	0.253849	123.0322516	2.163381	0.838265339
62	0.29102	123.0009956	2.129144	0.831756655
63	0.487937	119.469732	1.883992	0.796641854
64	0.421821	123.932408	1.996961	0.830640492
65	0.380988	122.1872811	2.027484	0.827136574
66	0.253113	125.4385391	2.179503	0.839605388
67	0.32669	121.9602644	2.089484	0.82539611
68	0.327324	121.407365	2.074463	0.821523462
69	0.296676	115.8884556	2.067652	0.817206845
70	0.295928	119.6227131	2.112342	0.826366297
71	0.376075	117.2850257	2.02972	0.811763979
72	0.373888	121.439862	2.024533	0.82340472
73	0.380209	120.145152	2.032391	0.816511097
74	0.39373	122.4790671	2.013707	0.82708342
75	0.264294	127.0147102	2.167745	0.841666651
76	0.379535	120.1488985	2.031612	0.820405056
77	0.415524	123.3043761	1.964879	0.815126653
78	0.297285	113.5834998	2.124094	0.827994368
79	0.358533	123.3893827	2.058506	0.82095515
80	0.339744	123.6516931	2.069072	0.841476354
81	0.38315	118.2450785	2.0225	0.798017421
82	0.353986	123.305943	2.069171	0.818758661
83	0.294373	125.6761886	2.13716	0.84579206
84	0.378316	118.6270397	2.012272	0.816450107
85	0.424026	116.123177	1.935855	0.811904793
