rep	aei_left	left_area	adi_left	H
1	0.307332	117.8212295	2.047314	0.824978563
2	0.474357	120.2881493	1.886029	0.794417311
3	0.396507	119.5774687	2.003935	0.814640414
4	0.356388	121.8591567	2.048593	0.82642671
5	0.321058	119.0854923	2.064991	0.826098331
6	0.389811	114.7946847	1.996813	0.810627854
7	0.501089	115.8671512	1.820104	0.812204534
8	0.3728	118.4298734	2.020637	0.814973215
9	0.410714	119.3565962	1.991766	0.816226854
10	0.5022	130.1705649	1.854031	0.781396507
11	0.413115	116.3813429	1.987541	0.783896393
12	0.20523	124.4514898	2.228435	0.846285057
13	0.507826	111.1276223	1.83294	0.785370434
14	0.267387	123.6606905	2.142915	0.84608287
15	0.369715	121.8365933	2.008248	0.8313215
16	0.364002	119.0059055	2.044554	0.824907721
17	0.345011	118.5631047	2.07246	0.814337793
18	0.416982	117.9034755	1.960536	0.77596546
19	0.377261	116.100635	1.991216	0.806992737
20	0.379658	120.2111578	1.991938	0.783691747
21	0.415679	118.6922602	1.939766	0.831404574
22	0.405733	116.216756	1.9726	0.794363226
23	0.329122	125.3970071	2.073757	0.847834116
24	0.308208	124.0244005	2.062706	0.828153426
25	0.214128	123.0788717	2.183757	0.848096921
26	0.256335	124.216154	2.165862	0.837278847
27	0.388535	121.7357426	2.002851	0.832770797
28	0.338504	118.121674	2.065351	0.807738432
29	0.327569	121.6942207	2.107879	0.825190865
30	0.466744	120.0816816	1.904343	0.826301699
31	0.370359	116.7135087	2.042302	0.82121697
32	0.375636	120.0422709	2.023765	0.824738421
33	0.473557	113.9099548	1.861446	0.797658014
34	0.332732	122.4790185	2.096099	0.814242447
35	0.34008	119.0202179	2.073334	0.827995849
36	0.203666	122.6602967	2.221768	0.845039436
37	0.360304	123.2095779	2.036216	0.836231072
38	0.390696	117.6685548	1.980126	0.800363221
39	0.395152	117.0821855	1.967607	0.810322804
40	0.403575	115.6810714	1.942062	0.810585337
41	0.402299	122.5485849	1.983797	0.819835693
42	0.36828	123.7607639	2.040108	0.827651326
43	0.413734	116.4478851	1.979058	0.796669304
44	0.371144	115.1290806	2.022749	0.8194902
45	0.381089	121.6913154	2.006745	0.837710826
46	0.34532	118.5289386	2.056567	0.82229841
47	0.311223	121.6698697	2.090291	0.822409739
48	0.411575	121.9337221	1.985005	0.801258371
49	0.417184	119.1594512	1.957841	0.823659387
50	0.363528	125.2202627	2.076535	0.78196614
51	0.450526	117.8138084	1.933152	0.805961001
52	0.434331	127.1401808	1.966928	0.838789058
53	0.381454	124.7091711	2.01189	0.825193894
54	0.389689	122.3571876	1.987581	0.823479708
55	0.414775	116.3449112	1.967983	0.81048356
56	0.348534	116.1657423	2.04486	0.823670233
57	0.270046	122.0688402	2.167789	0.841263008
58	0.307532	122.1749145	2.113048	0.84667628
59	0.289063	120.6867656	2.128218	0.834462738
60	0.323813	123.0473518	2.095659	0.827055879
61	0.293505	121.2449484	2.140539	0.833879703
62	0.318135	120.9662443	2.069525	0.836694032
63	0.406415	115.1084005	1.967429	0.815575222
