rep	aei_left	left_area	adi_left	H
1	0.400626	123.1785602	1.985576	0.807728195
2	0.349895	119.1954891	2.040085	0.822651344
3	0.365632	119.5465907	2.028214	0.81493391
4	0.295415	121.169159	2.105771	0.829671865
5	0.349097	118.3222673	2.059265	0.819515603
6	0.342657	121.7164617	2.051848	0.842376307
7	0.393537	118.8350284	2.009363	0.810427955
8	0.425198	120.0584377	1.937805	0.807970076
9	0.420327	123.5211181	1.983055	0.813552086
10	0.344901	123.2362115	2.058208	0.842271419
11	0.379971	119.7825687	1.99463	0.828114328
12	0.299009	124.0682627	2.136644	0.836403691
13	0.354342	124.9759357	2.065077	0.829554247
14	0.319926	122.5095435	2.09632	0.840991059
15	0.336941	120.1541435	2.087579	0.834217313
16	0.322333	124.5559485	2.107307	0.843413088
17	0.344055	124.3841374	2.077217	0.825230335
18	0.451953	116.6138565	1.899839	0.804452117
19	0.35869	124.0971227	2.070343	0.839264557
20	0.328991	123.5142934	2.100447	0.831784944
21	0.26655	126.8648202	2.161592	0.850928254
22	0.350503	120.7542365	2.046534	0.81189505
23	0.402266	120.9748865	1.974012	0.815609064
24	0.341497	120.6961418	2.076641	0.821954546
25	0.371456	121.0711495	2.011708	0.822349497
26	0.461555	115.2192241	1.869931	0.79928538
27	0.41002	118.2639582	1.969334	0.807211579
28	0.365848	121.8776902	2.00701	0.834325322
29	0.353467	118.1165173	2.023442	0.816312767
30	0.367783	120.8135195	2.004075	0.824028707
31	0.387218	116.1324286	1.986799	0.809672084
32	0.394465	121.059604	1.991704	0.82107785
33	0.399009	118.9914944	1.999087	0.805542566
34	0.347401	119.6780982	2.073583	0.812411845
35	0.32525	124.9340338	2.097994	0.834069616
36	0.378793	117.5009051	2.027544	0.817913068
37	0.369156	120.7870924	2.030933	0.841309982
38	0.357541	122.2168068	2.054222	0.820976332
39	0.305272	122.2296154	2.097852	0.838633245
40	0.262474	124.35371	2.157324	0.847258251
41	0.336114	124.7931084	2.07426	0.844037772
42	0.362908	121.1429956	2.031791	0.818433973
43	0.290929	122.5737553	2.105425	0.834401514
44	0.296103	123.6641346	2.131456	0.83552839
45	0.36381	117.2499595	2.022753	0.822002102
46	0.386387	119.3548321	1.98636	0.815986842
47	0.35604	122.3487692	2.050147	0.83740083
48	0.355846	117.7936557	2.053369	0.816890138
49	0.266162	123.84418	2.130616	0.844575981
50	0.356958	123.3084371	2.024564	0.814641881
51	0.326223	119.5065999	2.075132	0.815294235
52	0.330738	117.2576034	2.049034	0.812677682
53	0.360915	125.9974027	2.043268	0.834838203
54	0.358462	119.8894268	2.0281	0.825537816
55	0.244788	124.796877	2.189501	0.85617164
56	0.420199	115.9640418	1.961314	0.812838992
57	0.288024	123.6932481	2.138495	0.846909281
58	0.384009	117.2982669	2.011645	0.809506033
59	0.356882	123.9152933	2.068701	0.831928811
60	0.320474	125.1332802	2.110884	0.841828208
61	0.344978	119.2433815	2.07022	0.815815188
62	0.384829	123.6375006	2.04005	0.828241365
63	0.412121	119.9041909	1.97584	0.821993267
64	0.271125	121.2832628	2.156318	0.839196193
65	0.390647	123.065335	2.016659	0.823721775
66	0.312568	119.3332856	2.105205	0.839476704
67	0.396632	118.5365811	1.982623	0.82046204
68	0.433884	117.7379554	1.951199	0.813240133
69	0.372389	121.045556	2.030251	0.830180707
70	0.38536	118.6218306	1.973755	0.821933272
71	0.323941	121.4291235	2.111968	0.830768318
72	0.432762	119.716686	1.936559	0.810158468
73	0.342307	121.5272645	2.068972	0.823903808
74	0.382285	120.5573714	2.021378	0.826333261
75	0.396458	120.4261515	1.987051	0.820765291
76	0.394612	119.2849527	1.985236	0.816872672
77	0.360606	117.8427152	2.019713	0.815494772
78	0.348647	119.7404951	2.052886	0.821004274
