rep	aei_left	left_area	adi_left	H
1	0.363421	120.1132977	2.056309	0.819665676
2	0.374572	115.954399	2.010716	0.79027414
3	0.33532	117.1976582	2.085693	0.800285089
4	0.539171	107.569451	1.748903	0.779632748
5	0.50303	115.063512	1.852127	0.790188034
6	0.342588	119.3011631	2.071658	0.831519686
7	0.367816	122.2927943	2.058553	0.809330189
8	0.505982	110.4627356	1.805175	0.756676235
9	0.336098	117.9274168	2.070082	0.802139588
10	0.420733	120.3718784	1.973516	0.807246696
11	0.369221	122.1736318	2.064023	0.81391696
12	0.482264	123.6098354	1.88139	0.84274141
13	0.394443	116.9466277	1.992111	0.815207113
14	0.460479	116.0107783	1.895727	0.786863517
15	0.327252	116.8502515	2.055372	0.825178341
16	0.210851	119.4523373	2.18494	0.820297693
17	0.281817	128.1704552	2.172691	0.834844011
18	0.431909	111.2115108	1.944412	0.800390464
19	0.37289	118.2600653	2.038951	0.798283598
20	0.269035	124.4851524	2.154097	0.850444356
21	0.341434	127.299984	2.074198	0.827103467
22	0.409578	121.354817	1.965707	0.806685213
23	0.392352	113.0171847	1.984046	0.782504669
24	0.257202	129.3454766	2.185557	0.842967375
25	0.303489	124.0733623	2.067513	0.832799704
26	0.342995	121.0644105	2.075632	0.810259112
27	0.40275	118.5003336	2.011048	0.790078891
28	0.388723	123.3678995	2.023968	0.830480965
29	0.313282	123.8322151	2.067953	0.814555761
30	0.204564	129.4833301	2.211254	0.861993443
31	0.497283	114.6754647	1.879462	0.811343592
32	0.379307	118.6173022	2.023029	0.817667489
33	0.373635	120.0582644	2.014178	0.814498405
34	0.4447	116.3615277	1.898091	0.802009876
35	0.304883	120.2790546	2.150595	0.817931753
36	0.383262	117.1812056	2.031764	0.789193773
37	0.371202	116.2797238	2.017431	0.805240937
38	0.538146	116.7467023	1.78059	0.767108431
39	0.265997	125.3355686	2.137035	0.836632045
40	0.436468	115.7383523	1.919803	0.787701313
41	0.187448	128.3461719	2.241487	0.853713595
42	0.460682	119.7151037	1.94	0.805239185
43	0.386571	120.1310438	2.021508	0.804900167
44	0.404909	120.2372565	2.012274	0.809742392
45	0.328112	124.0979306	2.100459	0.829781419
46	0.410328	115.9116007	1.955733	0.800726862
47	0.376466	113.525384	2.003067	0.797202152
48	0.398894	118.1931639	2.015871	0.7963407
49	0.470068	111.2087261	1.850503	0.774319025
50	0.225713	129.1276177	2.215203	0.856158039
51	0.239659	123.8000297	2.200763	0.820772241
52	0.335328	118.4775443	2.094863	0.81789434
53	0.374771	122.9695246	2.057713	0.815305856
54	0.388466	116.1205124	2.01577	0.769003324
55	0.309402	120.080945	2.112851	0.824186426
56	0.321321	126.8115809	2.113043	0.837907371
57	0.467641	118.3632996	1.914383	0.795122673
58	0.390438	119.3460939	1.995671	0.814256042
59	0.291594	122.1756869	2.150347	0.817493942
60	0.363018	116.9054884	2.039603	0.812505614
61	0.456563	116.7669943	1.909142	0.812239821
62	0.387553	117.8264406	2.026013	0.806935901
63	0.363003	121.5106788	2.084358	0.805784782
64	0.415369	110.7146648	1.979665	0.779341685
