rep	aei_left	left_area	adi_left	H
1	0.382317	121.1070215	2.030248	0.806210678
2	0.537114	114.1694049	1.796098	0.786358015
3	0.21007	118.225065	2.21719	0.839250508
4	0.39715	123.4551924	2.037781	0.821322663
5	0.435647	112.4750106	1.924008	0.774119475
6	0.33298	122.7136905	2.102462	0.853108254
7	0.290403	118.2517195	2.143454	0.83017887
8	0.410173	120.2626068	2.004093	0.816272935
9	0.490627	113.169628	1.85299	0.752007521
10	0.458876	112.9612104	1.899965	0.789465012
11	0.297991	126.2749561	2.13139	0.841664632
12	0.388595	120.9541091	2.009959	0.811338845
13	0.449065	109.4178027	1.904872	0.782320417
14	0.346816	121.5701724	2.068273	0.806092499
15	0.461503	111.4115178	1.900221	0.76910558
16	0.424315	110.6984934	1.967168	0.762018032
17	0.398732	115.1547367	2.036387	0.795497827
18	0.351551	124.3608816	2.065677	0.83927341
19	0.429419	113.1622046	1.954413	0.780879618
20	0.369937	117.9202983	2.029664	0.810475447
21	0.538869	114.3675779	1.766539	0.757168651
22	0.389855	119.8111696	2.016647	0.804813185
23	0.452593	116.9349627	1.881582	0.804341642
24	0.319234	124.6812169	2.136136	0.830600022
25	0.45025	113.3487708	1.920451	0.768222582
26	0.409244	115.970726	1.98569	0.800287507
27	0.459868	118.2460302	1.916478	0.784100793
28	0.355236	117.2960227	2.064799	0.827361784
29	0.436348	117.0240638	1.954978	0.789786852
30	0.404645	119.3195094	1.999603	0.810714522
31	0.361096	123.5815507	2.078885	0.808367941
32	0.30908	115.8279417	2.087994	0.811277033
33	0.385388	123.7117627	2.024868	0.833833208
34	0.475846	118.0402109	1.897145	0.790180704
35	0.249144	121.4206015	2.172103	0.817606626
36	0.462945	114.5590756	1.865316	0.794653149
37	0.280731	117.6841966	2.166214	0.819295122
38	0.365794	125.0362225	2.062655	0.823903299
39	0.393711	124.8699719	2.016407	0.809359631
40	0.350277	119.3942094	2.05611	0.803852899
41	0.404138	115.8851059	1.976506	0.791856615
42	0.388498	121.0863863	2.006304	0.809708215
43	0.500195	118.8858071	1.8517	0.774671934
44	0.50747	120.063888	1.852239	0.81218043
45	0.358156	116.7059972	2.037468	0.802629623
46	0.378521	117.9842429	2.03263	0.819609815
47	0.392302	121.8452369	2.040019	0.789069786
48	0.401434	119.6939921	1.989514	0.807064831
49	0.42372	114.5690947	1.976242	0.77495162
50	0.364949	118.5147086	2.047994	0.825814744
51	0.347499	126.3351947	2.084958	0.832528719
52	0.370552	120.4638266	2.037842	0.823946975
53	0.309679	124.2714988	2.119436	0.830247379
54	0.416633	117.8111293	1.997521	0.811075092
55	0.349843	124.4773649	2.077503	0.830291229
56	0.412932	114.7194559	1.958693	0.80684642
57	0.251125	122.9800785	2.167309	0.840779295
58	0.446732	111.2092905	1.908763	0.788113863
59	0.430015	113.6222794	1.926639	0.789941499
60	0.386062	121.0380535	2.009973	0.789277865
61	0.483671	116.0925708	1.89286	0.787980882
62	0.419444	115.7267914	1.994114	0.796226977
63	0.442873	120.0834312	1.949022	0.80414542
64	0.363285	120.9848121	2.047516	0.820563875
65	0.440723	113.1427774	1.908735	0.797814683
66	0.422382	112.9311144	1.922562	0.802943075
67	0.422879	120.7007405	1.986718	0.79825477
68	0.499398	115.854562	1.873531	0.813741046
69	0.316283	116.0112896	2.097307	0.825021433
70	0.428164	114.7270957	1.977658	0.778545861
71	0.385066	119.6358808	1.995752	0.809938387
72	0.487273	116.2335764	1.893292	0.791662662
73	0.430057	109.3867309	1.948227	0.795023894
74	0.442014	117.73511	1.935418	0.797667624
75	0.397192	119.2215877	2.018417	0.802852998
76	0.287095	118.4731222	2.140473	0.812081292
77	0.420696	122.7336679	2.005398	0.791024603
78	0.27864	122.7061629	2.165622	0.828581197
79	0.370925	116.061906	2.011212	0.821658044
80	0.279461	126.6087139	2.145944	0.835723008
