rep	aei_left	left_area	adi_left	H
1	0.393694	118.2389275	1.99601	0.818356902
2	0.373995	116.5623874	2.017571	0.820322576
3	0.301007	123.1014698	2.131505	0.832699743
4	0.335958	118.5578652	2.04559	0.82419946
5	0.301933	120.8601659	2.107032	0.833999139
6	0.286582	127.5160012	2.133829	0.846751815
7	0.390422	116.6172565	1.987558	0.806484608
8	0.279137	127.3691196	2.154326	0.826477383
9	0.508693	116.8307258	1.833538	0.75269018
10	0.279036	126.4787776	2.163142	0.833391448
11	0.368715	120.4907785	2.024391	0.826478033
12	0.344945	122.2658324	2.082727	0.804929305
13	0.362871	120.0771072	2.053877	0.829244904
14	0.447551	111.6391343	1.919198	0.785430261
15	0.418009	120.4841629	1.936829	0.825125402
16	0.318554	118.7204403	2.112209	0.831311509
17	0.398791	120.2464894	1.9864	0.802877953
18	0.364205	119.4086254	2.058155	0.796221542
19	0.316971	120.995777	2.106549	0.83025115
20	0.344398	115.980735	2.037707	0.823877921
21	0.426855	116.6450566	1.966873	0.782052235
22	0.371976	117.4443956	2.026711	0.819922935
23	0.463358	114.1279894	1.853764	0.80680551
24	0.337262	117.0562895	2.093071	0.816301347
25	0.37551	115.2293327	1.993216	0.810737089
26	0.406443	115.3075538	1.975484	0.81905913
27	0.213659	125.2588286	2.228538	0.831714939
28	0.299074	126.7211646	2.14756	0.840637094
29	0.434982	116.4222837	1.936986	0.820798212
30	0.435507	114.7389434	1.952221	0.796425223
31	0.416746	120.5921368	1.948416	0.807715281
32	0.367546	121.7540156	2.03199	0.832224077
33	0.316036	121.948703	2.071292	0.822167007
34	0.347557	121.2558268	2.076673	0.815212149
35	0.378934	118.2316681	2.014111	0.812561552
36	0.378786	116.6030531	2.014013	0.812670559
37	0.357462	121.8350221	2.061827	0.823365511
38	0.362384	118.8658512	2.041731	0.821969942
39	0.404298	118.8526942	1.983709	0.810202435
40	0.432501	117.2123034	1.922878	0.790593341
41	0.301706	122.0103979	2.123358	0.841178374
42	0.289538	119.2980881	2.136618	0.825746932
43	0.41445	117.1237661	1.983615	0.824604415
44	0.327062	120.1336431	2.091113	0.818648159
45	0.364618	116.7634248	2.044869	0.827912489
46	0.407346	120.5488705	2.005425	0.801213234
47	0.409874	118.8430314	1.968527	0.799339249
48	0.279293	122.6529855	2.098741	0.832527072
49	0.37079	123.7212693	2.049821	0.818090185
50	0.251506	121.8593077	2.177762	0.829324541
