rep	aei_left	left_area	adi_left	H
1	0.3227	117.1153358	2.098323	0.814908159
2	0.411495	118.4568438	1.944575	0.824466002
3	0.346951	119.8869752	2.081388	0.815164393
4	0.306006	124.6611213	2.107779	0.836667306
5	0.336998	122.9255883	2.081829	0.838453142
6	0.437924	117.5207912	1.942673	0.783837958
7	0.475748	114.1620678	1.863516	0.800348845
8	0.397216	115.8498127	1.949651	0.821686234
9	0.36112	121.0319175	2.029194	0.825771615
10	0.360353	119.2212994	2.049288	0.823592873
11	0.403783	116.2465516	1.995258	0.798118953
12	0.350674	122.9386312	2.077309	0.8266523
13	0.30298	121.0527004	2.118437	0.820562961
14	0.316281	122.010631	2.101415	0.831507894
15	0.416299	114.6157369	1.95185	0.796154011
16	0.266406	124.0046507	2.171949	0.843979409
17	0.358384	118.4251906	2.034798	0.829944134
18	0.319844	121.6287078	2.089445	0.838164334
19	0.339109	118.0694032	2.047484	0.81940524
20	0.470114	117.1847143	1.857628	0.794707256
21	0.373004	122.1034522	2.018163	0.839200416
22	0.31816	119.9008087	2.099779	0.820391707
23	0.348882	117.9740136	2.052192	0.82524292
24	0.239321	127.4260252	2.19534	0.855807188
25	0.375951	117.1576708	2.049338	0.811540972
26	0.412341	120.2933094	1.991817	0.824278992
27	0.376242	117.9650973	2.024318	0.829720889
28	0.322239	118.6195768	2.090718	0.818397146
29	0.337204	117.4787362	1.992442	0.81722808
30	0.395613	118.9370809	1.992693	0.815873245
31	0.369781	124.0133746	2.029344	0.818372194
32	0.457906	116.8682531	1.895862	0.801636143
33	0.39334	119.8703938	1.975186	0.809334837
34	0.257	124.4171812	2.136667	0.822976141
35	0.366644	124.8109152	2.042082	0.826202707
36	0.427846	119.6760083	1.928036	0.827484097
37	0.403054	121.1549925	1.992595	0.812390637
38	0.408807	123.7303315	2.002532	0.810680824
39	0.331767	121.5410224	2.074528	0.837157856
40	0.28741	118.0814152	2.148667	0.82495985
41	0.310005	119.844041	2.110031	0.821655755
42	0.317132	119.4913176	2.103075	0.825389394
43	0.381786	118.1830742	2.00218	0.814094529
44	0.474211	112.2212548	1.850517	0.786227925
45	0.416341	119.5080816	1.919141	0.810933098
46	0.33733	125.9960617	2.076684	0.827789708
47	0.321122	120.6082466	2.072904	0.840913126
48	0.331707	123.9874663	2.094224	0.847639468
49	0.359492	122.7884084	2.074715	0.819468566
50	0.324233	125.689675	2.103418	0.844970202
51	0.377415	114.9579165	2.017597	0.815277108
52	0.335266	127.8920514	2.104586	0.828876958
53	0.383671	116.3437931	2.000459	0.79610025
54	0.311789	119.7140838	2.092262	0.825891235
55	0.374949	114.6094665	2.010744	0.810876749
56	0.335916	121.1042254	2.077122	0.835778198
57	0.486468	118.9758518	1.884711	0.816546618
58	0.321066	122.0470465	2.066799	0.810053219
59	0.360703	115.7527608	2.024171	0.80945421
60	0.435677	118.486932	1.924166	0.80138408
61	0.350018	121.8025358	2.025443	0.827612534
62	0.457146	122.3981576	1.9157	0.813684525
63	0.398142	120.4945064	1.983303	0.820953756
64	0.423222	120.2118291	1.965515	0.811273589
65	0.378738	116.2212031	2.018272	0.807261162
66	0.39409	119.8388265	1.985036	0.827101706
67	0.207602	129.779313	2.200105	0.860006301
68	0.381019	120.6790965	1.98134	0.831026709
69	0.332644	124.8849075	2.065443	0.840786182
70	0.385679	121.3768388	2.020829	0.829243971
71	0.406142	122.8021499	1.944625	0.825803704
72	0.251682	127.8613925	2.184737	0.862569176
73	0.330388	118.2094168	2.075078	0.824290718
74	0.406656	118.7085791	1.987184	0.806127826
75	0.347424	119.5556185	2.069524	0.832676321
76	0.395531	121.021612	2.015994	0.811459147
77	0.501047	113.4690253	1.801598	0.765527805
78	0.408306	118.3534545	1.94485	0.809024172
79	0.381717	115.5539787	2.022561	0.810010368
80	0.406093	122.7495956	1.971726	0.812438866
81	0.385464	115.6052028	2.030772	0.802076559
82	0.442995	119.6836313	1.944824	0.797459157
83	0.319537	125.0268372	2.075298	0.822970135
84	0.357723	122.7861743	2.05607	0.824348583
85	0.405745	118.8574952	1.96923	0.827040081
86	0.313314	122.3834905	2.091615	0.802195256
87	0.326699	123.4154944	2.087833	0.827958088
88	0.424978	121.8861802	1.961837	0.82225933
89	0.290077	127.5203142	2.150267	0.842319225
90	0.468718	116.3630838	1.897856	0.780632803
91	0.451805	116.3540051	1.901817	0.811812943
92	0.463617	117.4327024	1.898033	0.805051978
93	0.344613	119.1244607	2.06296	0.839712541
94	0.44819	119.7702568	1.919998	0.819752196
95	0.36311	116.2760494	2.008218	0.819867761
96	0.378773	120.4869441	2.029501	0.804957022
97	0.361609	122.9583859	2.058347	0.834502635
98	0.358756	118.7098056	2.030482	0.795783303
99	0.432297	115.6563618	1.910393	0.793069625
100	0.235418	126.1691878	2.193371	0.856323983
101	0.459207	116.9034052	1.883325	0.803630634
102	0.323217	120.9175527	2.091378	0.833524096
103	0.316014	119.9724284	2.037174	0.82216557
104	0.291135	122.8198192	2.129323	0.838697448
105	0.456725	120.8604965	1.931014	0.801458858
106	0.28583	122.5790241	2.140179	0.838764959
107	0.267922	130.8235277	2.142829	0.852461331
108	0.453534	116.31305	1.877623	0.801209917
109	0.398179	116.9289622	1.98249	0.812028186
110	0.292265	126.5345352	2.147136	0.848214712
111	0.257048	121.2604575	2.17134	0.831696695
112	0.41776	117.683843	1.971491	0.817108626
113	0.332858	120.4202902	2.017871	0.811505874
114	0.309716	118.0661717	2.111048	0.832042328
115	0.339004	123.6989576	2.072984	0.839024652
116	0.365889	122.6993403	2.059702	0.826973117
117	0.33966	119.1639777	2.082073	0.816651301
118	0.254313	127.2491848	2.180093	0.853743284
119	0.349103	122.905647	2.099824	0.834798357
120	0.284675	117.3102097	2.127888	0.830599898
121	0.436099	118.4561075	1.946171	0.804799403
122	0.332571	119.2375944	2.045021	0.818710382
123	0.36791	116.0828381	2.04786	0.799240376
124	0.378534	121.6269206	2.052617	0.791086818
125	0.329822	120.7819782	2.089426	0.8366466
126	0.373176	117.6679457	2.038911	0.795082962
127	0.312273	119.943725	2.067289	0.807876558
128	0.411614	122.6597066	1.984796	0.821479658
129	0.249179	127.6818333	2.185744	0.848766213
130	0.382166	119.5118603	2.043097	0.822435399
131	0.324928	118.7624458	2.068275	0.828318342
132	0.38449	120.8152797	1.973163	0.825074121
133	0.262465	122.161408	2.116927	0.83527972
134	0.448556	118.4450058	1.915343	0.814464281
135	0.332996	122.4480427	2.079464	0.82589892
136	0.290396	128.7926095	2.148722	0.834209456
137	0.372508	122.7317929	2.040099	0.837443706
138	0.300143	120.5140187	2.121162	0.821163603
139	0.374325	118.1186635	2.011487	0.813928101
140	0.355295	118.6409695	2.055505	0.812000925
141	0.389657	117.4091723	2.004024	0.807512444
142	0.437713	120.8662507	1.923096	0.801406931
143	0.42675	116.7664536	1.958586	0.811962945
144	0.334736	121.7988324	2.091072	0.821361387
145	0.408397	118.2458703	1.961389	0.802132796
146	0.411811	117.7097162	1.97819	0.805912915
147	0.383411	120.9770758	1.997465	0.818407214
148	0.373937	120.6951009	2.04468	0.824744769
149	0.360906	121.017948	2.01728	0.819082387
150	0.347631	119.320067	2.04919	0.832416523
151	0.296547	120.3827771	2.133556	0.831455242
152	0.345967	126.5312985	2.086355	0.840825114
153	0.332539	118.8059553	2.058547	0.81446915
154	0.392683	121.7317833	1.995593	0.83266456
155	0.381817	126.4208496	2.012111	0.835245997
156	0.445109	114.2457045	1.880701	0.78951188
157	0.355027	112.8897786	2.052162	0.83056066
158	0.419169	112.4706414	1.936876	0.7984607
159	0.246906	124.313225	2.162577	0.836281669
160	0.329724	121.5068301	2.10037	0.811106645
161	0.405118	119.4935837	1.991045	0.809854102
162	0.442133	116.2814006	1.941778	0.782669873
163	0.376591	119.7502384	2.034936	0.805030525
164	0.415133	116.854374	1.979651	0.7995852
165	0.399525	117.0649801	2.000525	0.811550829
166	0.359037	120.9054149	2.049107	0.811794386
167	0.334765	115.9877694	2.075631	0.823202247
168	0.419883	115.7025758	1.967241	0.795461772
169	0.357041	119.9566005	2.038547	0.813401193
170	0.380038	119.0243087	2.026209	0.778689683
171	0.441246	116.0815268	1.943706	0.800288617
172	0.379871	119.4095044	2.029601	0.814910179
173	0.379549	119.151162	2.033045	0.807253773
174	0.367782	120.7001088	2.065094	0.81554993
175	0.395874	116.5583141	1.985196	0.81125499
176	0.359496	119.0223719	2.023119	0.809433551
177	0.298044	121.5631826	2.105425	0.812073989
178	0.289956	123.6871888	2.096609	0.831912911
179	0.46526	116.9251158	1.869261	0.796141707
180	0.368527	119.4926391	2.025839	0.822513308
181	0.302287	124.2428259	2.092725	0.83673871
182	0.431399	114.298569	1.959672	0.81084106
183	0.417756	114.9354976	1.982436	0.804396753
184	0.27312	127.2625046	2.152401	0.839388594
185	0.379886	120.9867629	2.008175	0.795707454
186	0.324656	126.7879537	2.095437	0.851487072
187	0.367683	117.9360614	2.056213	0.820560825
188	0.308402	121.7648023	2.119223	0.837792708
189	0.366644	118.4474293	2.041499	0.830155234
190	0.295333	122.2693794	2.087512	0.826738722
