rep	aei_left	left_area	adi_left	H
1	0.374806	115.8046939	2.010555	0.809646721
2	0.455436	118.5759816	1.907136	0.800949301
3	0.3894	117.2612394	2.017066	0.817923751
4	0.339913	117.4724173	2.048098	0.822961357
5	0.395427	117.0387339	2.012435	0.805710554
6	0.312146	116.7420323	2.108432	0.820929148
7	0.375118	120.3953754	2.056282	0.800472525
8	0.393	120.3956791	2.008863	0.813126248
9	0.342254	121.8511812	2.040111	0.822826571
10	0.421891	116.5126022	1.958634	0.79754153
11	0.376216	118.6669733	2.036208	0.805947369
12	0.251831	120.852564	2.161368	0.848946815
13	0.393557	124.2317787	2.019795	0.824487628
14	0.219399	127.7946835	2.216259	0.854082116
15	0.303696	118.2262839	2.117027	0.830439818
16	0.451042	119.9486937	1.908534	0.784231985
17	0.278584	119.5959447	2.151002	0.82500319
18	0.365804	116.3179618	2.070179	0.814962962
19	0.453596	119.7996172	1.906031	0.824140448
20	0.512716	118.6177097	1.834139	0.804522614
21	0.356693	124.0054661	2.056195	0.812740029
22	0.396541	122.2506575	1.980377	0.816420916
23	0.404575	115.5272001	1.972675	0.805822796
24	0.294941	122.3358052	2.137835	0.823842641
25	0.430564	120.6682963	1.944338	0.825292203
26	0.334321	119.2924779	2.111323	0.81081732
27	0.370148	132.8609504	1.998126	0.84481362
28	0.389384	113.4060594	1.991201	0.800729112
29	0.475025	112.8558633	1.854073	0.801457897
30	0.353889	119.5189672	2.0737	0.802388816
31	0.353106	120.7192635	2.079133	0.847261311
32	0.351835	123.9862773	2.071524	0.830374053
33	0.328611	120.8339538	2.091871	0.83612164
34	0.34731	121.5066874	2.062348	0.826380269
35	0.337455	119.7279928	2.093417	0.815232802
36	0.426656	115.363395	1.958633	0.813380386
37	0.43782	117.7565163	1.914219	0.822130957
38	0.389832	113.1393461	2.013016	0.813413896
39	0.384608	122.4019854	2.007105	0.814687659
40	0.37625	116.4119309	2.006741	0.825044842
41	0.357506	119.7246882	2.058723	0.816357946
42	0.34894	118.0434011	2.090291	0.818265868
43	0.504607	110.5384942	1.841615	0.785013213
