rep aei_left left_area adi_left H
1 0.379392 121.473113526841 2.04452 0.797509899975707
2 0.465254 121.096166350129 1.863571 0.787945558520149
3 0.431863 112.744601418117 1.953043 0.775514806829232
4 0.481523 113.359818610107 1.855377 0.774494185116687
5 0.264801 127.228439716759 2.180524 0.86132261409237
6 0.3935 117.535116144055 2.029942 0.81086022439908
7 0.534193 113.494638773836 1.785058 0.77466267713935
8 0.182942 127.690356689846 2.245304 0.845619819112647
9 0.567544 106.892628576113 1.717471 0.709820341219776
10 0.322408 120.276061330492 2.074118 0.818642104465029
11 0.415855 118.250268544082 2.010472 0.778537175985245
12 0.40638 112.010073334247 1.981027 0.787264744622461
13 0.333688 121.13770254149 2.085473 0.798190534384931
14 0.530031 117.190394027495 1.798402 0.800183427605489
15 0.383954 116.781610964395 2.031224 0.785899831025837
16 0.410028 122.795019075951 1.999382 0.825849794142881
17 0.621555 109.475968754846 1.611515 0.738111901218075
18 0.324354 122.643858203997 2.113378 0.822206533844195
19 0.341766 117.754762894886 2.093295 0.81706450410758
20 0.387295 127.892395015647 2.05457 0.816931688505767
21 0.430736 114.174636622342 1.910321 0.778788386329836
22 0.323319 117.407067478078 2.099583 0.803854057364481
23 0.425383 118.542896654336 1.964141 0.796685350111595
24 0.318598 116.959023235468 2.114078 0.801567310117998
25 0.281104 119.932976916702 2.16587 0.79616811014417
26 0.372474 111.866941957384 2.035506 0.782757333105473
27 0.374925 116.097962505657 2.016591 0.798260184493701
28 0.355957 119.063781516673 2.079892 0.826831111494417
29 0.341798 118.394902852634 2.059461 0.81017582237224
30 0.397397 116.787082850985 2.012472 0.802003719171811
31 0.375859 123.12907180591 2.060623 0.838437585230717
32 0.371301 116.962364158714 2.042439 0.827045281953848
33 0.401514 120.8189518269 2.015058 0.760678102317556
34 0.406145 110.095947775583 1.93744 0.797500662945954
35 0.3809 113.26235150068 2.029147 0.782064898387324
36 0.349875 118.392171239325 2.033162 0.81129546168379
37 0.427492 118.497510316706 1.982433 0.802928684601061
38 0.381048 115.482481909445 2.041193 0.802853060114723
39 0.479072 114.80975139907 1.89259 0.794316546134873
40 0.242641 120.506064411535 2.193228 0.826383109245556
41 0.371739 108.321880085893 1.96922 0.771098822180797
42 0.419415 115.208101939034 2.000388 0.804358966789277
43 0.496687 112.519450547362 1.869392 0.775506038052081
44 0.457939 115.19708739905 1.881056 0.799836118836913
45 0.377829 120.766882355384 2.008062 0.815259638360741
46 0.449458 115.666058905432 1.924759 0.768068010732032
47 0.234745 129.387373076365 2.195047 0.849143956041645
48 0.488465 116.172121379853 1.897172 0.796273513099031
49 0.475798 112.822631540685 1.865174 0.790507955511123
50 0.346164 121.737315979547 2.105013 0.814633603850589
