rep	aei_left	left_area	adi_left	H
1	0.55382	104.9236136	1.717749	0.71482311
2	0.369821	107.7412808	2.026544	0.746846332
3	0.383936	114.4875612	2.021052	0.767272826
4	0.341208	118.3746436	2.066405	0.771845499
5	0.390774	118.6012135	2.035864	0.795863417
6	0.417826	115.1741039	1.986919	0.761978532
7	0.332888	119.1902159	2.093828	0.780111346
8	0.351641	115.1823531	2.068671	0.783329266
9	0.472075	114.2545175	1.879764	0.754026074
10	0.382785	113.7547479	2.029766	0.792092686
11	0.326598	123.9737316	2.129265	0.803626173
12	0.367685	124.4424884	2.07922	0.795286369
13	0.412431	112.5927913	1.999748	0.736884745
14	0.349305	108.368271	2.042166	0.719895251
15	0.541478	112.1188258	1.772062	0.714100308
16	0.414334	109.7087796	1.983289	0.747931648
17	0.545947	113.6639303	1.747249	0.754922949
18	0.328039	119.6729804	2.057854	0.7410206
19	0.240033	116.2477191	2.170525	0.783566193
20	0.448244	110.4741315	1.944069	0.74911851
21	0.424102	118.1223188	1.975098	0.737524749
22	0.51118	112.8326628	1.824351	0.710054613
23	0.404707	110.9326528	1.974068	0.75090209
24	0.231567	124.5787646	2.201407	0.822526501
25	0.42286	114.7705325	1.981006	0.762157538
26	0.448124	119.0302496	1.943589	0.777175096
27	0.58588	118.2192018	1.670436	0.747495068
28	0.404727	115.4409681	1.990787	0.732239546
29	0.453376	124.9252003	1.948356	0.799075469
30	0.446372	115.6605582	1.958758	0.754295718
31	0.366573	114.5256179	2.082503	0.746597076
32	0.473139	114.8229975	1.903336	0.755670601
33	0.398137	118.6930051	2.002804	0.778085846
34	0.425178	114.0102257	1.980898	0.736764826
35	0.431043	111.9257458	1.989338	0.78012408
36	0.403031	117.10006	1.983208	0.751905285
37	0.433862	113.2151067	1.919969	0.71961389
38	0.541385	111.2494645	1.769275	0.761359935
39	0.439122	117.5394393	1.945271	0.609364399
40	0.369151	109.4073116	1.991442	0.733033133
41	0.464121	113.0856149	1.924413	0.712116159
42	0.357635	107.8616586	2.073345	0.760345233
43	0.495674	112.6766906	1.860377	0.75262766
44	0.389808	120.1394181	2.028908	0.76671226
45	0.482707	109.5730372	1.856854	0.731909185
46	0.337746	117.5405693	2.114737	0.761179313
47	0.39126	118.4799601	1.992805	0.776091326
48	0.285955	112.9738585	2.147199	0.731842031
49	0.420324	116.0457446	1.97789	0.718475961
50	0.532742	123.2748592	1.781237	0.758540098
51	0.353783	119.147231	2.063937	0.751117051
52	0.480113	117.7144132	1.909234	0.759534181
53	0.39741	116.7219312	2.02766	0.7861885
54	0.274495	116.3279196	2.154271	0.763660649
55	0.37979	123.8566481	2.066125	0.789474346
56	0.550308	116.9148261	1.780806	0.745588756
57	0.316361	117.8531186	2.134136	0.765820616
58	0.334271	125.0209052	2.103142	0.793462281
59	0.385016	119.6752363	2.016943	0.797504787
60	0.614535	112.5088364	1.631819	0.745966642
61	0.268791	114.5156091	2.126754	0.778547442
62	0.543658	108.6935401	1.745492	0.738181417
63	0.497382	108.8504481	1.875965	0.779986991
64	0.492699	102.3522429	1.872989	0.701878992
65	0.432995	114.2258625	1.971946	0.755407825
66	0.1448	131.9331251	2.267575	0.807562779
67	0.504144	103.2297045	1.861204	0.749628103
68	0.441129	114.54033	1.9067	0.760407739
69	0.479236	111.2305401	1.887466	0.757684878
70	0.471469	115.2694162	1.894344	0.776805255
71	0.482761	109.1968483	1.885287	0.770672373
72	0.485649	105.5813915	1.889361	0.726249236
73	0.452179	112.3083368	1.897815	0.7468891
74	0.348451	118.6220615	2.079487	0.779928159
75	0.437206	106.3354446	1.939905	0.718450112
76	0.397158	110.7059642	2.004179	0.783664315
77	0.399661	127.8573351	2.034936	0.804875338
78	0.427688	117.9199868	1.98699	0.774651594
79	0.366802	122.2185216	2.061361	0.760850903
80	0.411652	115.1350952	1.984888	0.763037504
81	0.382403	117.4471601	2.049964	0.751135033
82	0.39459	113.8713932	2.013438	0.783470759
83	0.401396	109.2197183	2.006684	0.740908658
84	0.471742	110.6660392	1.881095	0.715526438
85	0.427736	110.7989901	1.915632	0.706417941
86	0.398057	112.8307758	2.000021	0.761605327
87	0.381587	109.6000607	2.00756	0.756456725
88	0.292934	114.0615557	2.154967	0.776508151
89	0.368058	108.4970056	2.051367	0.748251806
90	0.570705	118.2924563	1.672729	0.750360455
91	0.441635	117.4610767	1.95036	0.765694512
92	0.313964	112.6179627	2.084663	0.760109841
93	0.366073	117.8618539	2.069799	0.74787316
94	0.356814	118.4710879	2.032613	0.779032011
95	0.252638	132.3050795	2.20066	0.765897743
96	0.361773	115.663694	2.088823	0.78365738
97	0.371792	122.1469429	2.072019	0.791700254
98	0.278148	109.3137706	2.171541	0.766699322
99	0.384021	120.5828423	2.008591	0.794199368
100	0.417506	110.4541209	1.985813	0.744385251
101	0.213094	125.5515633	2.230248	0.762095777
102	0.414994	118.6877821	1.984799	0.760740324
103	0.430383	109.8141398	1.956764	0.710630155
104	0.349572	120.9920811	2.089183	0.794169266
105	0.423676	113.2874597	1.944356	0.781409201
106	0.283558	109.7905932	2.160193	0.779559859
107	0.309791	114.9133631	2.138585	0.762752797
108	0.374742	110.2659647	2.014875	0.753519905
109	0.368799	117.6206149	2.072484	0.745155639
110	0.444354	101.0674876	1.967725	0.72885919
111	0.41142	117.3091681	1.97277	0.765366777
112	0.350958	116.0843177	2.059799	0.782913323
113	0.230762	122.8352175	2.211207	0.79018849
